index,dirty_word
1,K粉
2,乱伦
3,交媾
4,小姐兼职
5,毛片
6,CAO
7,交配
8,操你八辈祖宗
9,操你妈
10,新疆7.5事件
11,群交
12,茉莉花革命
13,西藏314事件
14,黄片
15,*李*洪*志*阿扁
16,*法*轮*功*
17,0网站
18,100%包中
19,10622206
20,1090tv
21,10jil
22,12次下跪
23,130
24,131
25,132
26,13208258358
27,133
28,139fa.cn
29,139service
30,153
31,155
32,156
33,163fn.com
34,189邮箱
35,18岁以下勿入
36,18岁以下勿入看
37,18岁以下勿看
38,18禁
39,1o6222
40,1Pondo
41,1反对派
42,1夜情
43,1犯
44,200877
45,2009qa.cn
46,2009qu.cn
47,21世纪中国基金会
48,27军
49,27军军长
50,2c8
51,34796315
52,3P
53,3肖中特
54,400-6067-588
55,41064
56,4P
57,4级片
58,51qqx.cn
59,54式
60,581199
61,5taobao.biz
62,6-4tianwang
63,6.4运动
64,630车祸
65,64事件
66,64学潮
67,64学生运动
68,64式
69,64惨剧
70,64惨案
71,64运动
72,6合
73,6合彩
74,6合彩图
75,6合采
76,6和
77,6和彩
78,6和采
79,733833
80,77式
81,8 仙
82,81386360
83,85式
84,86式
85,87式
86,887388
87,88式
88,8仙
89,92式
90,97式
91,97式防暴枪
92,97爱
93,97色色
94,9学生运动
95,9惨剧
96,9惨案
97,AIDS
98,anime
99,are under
100,asiangirl
101,av
102,avxiu
103,AV出售
104,AV女
105,AV女优
106,AV片
107,AV电影
108,awoodong
109,a圖
110,A片
111,a片网
112,A级
113,A级片
114,B 样
115,bang
116,bbagoori
117,bbagury
118,bigbowl
119,bignews
120,bitch
121,blowjob
122,boxun
123,bt
124,bt成人
125,bunsec
126,bunsek
127,byuntae
128,b好痒
129,B样
130,b痒
131,b穴
132,c a o
133,c2joy
134,C4塑胶炸药
135,C4炸药
136,C4炸药的成分
137,cashfiesta
138,cdjp
139,CDMA
140,censor
141,chat.qingse.org
142,china
143,chinaliberal
144,chinamobile
145,chinamz
146,ChinaNet
147,chinese
148,chinesenewsnet
149,clit
150,cnd
151,com-idc.com
152,condom
153,cosplay
154,creaders
155,d88hui
156,dafa
157,dajiyuan
158,dfdz
159,DICK
160,dildo
161,DIY核弹
162,downloader
163,dpp
164,easyown
165,erotic
166,Erotica
167,E周刊
168,e夜情
169,e夜温情
170,f l g
171,fa lun
172,Fa Lun Gong
173,fa 轮
174,falong
175,falu
176,falun
177,falundafa
178,FaLunGong
179,fanta
180,fanta dream
181,fa轮
182,Fa轮功
183,flg
184,Free Tibet
185,freechina
186,freedom
187,freenet
188,fuck
189,fucking women
190,gang
191,gangbang
192,gangshaq
193,gay
194,GCD
195,GCT工程硕士
196,gift
197,go-vern-ment
198,gongchandang
199,Government
200,g情
201,g情图片
202,g情网站
203,G点高潮
204,g片
205,haduri
206,hardcore
207,help
208,hentai
209,hjhjw.cn
210,hongzhi
211,hrichina
212,huanet
213,hx516
214,hypermart
215,hypermart.net
216,H动漫
217,H图
218,H漫画
219,H片
220,H电影
221,H站
222,ikoton
223,incest
224,IP17908
225,J8
226,JB
227,jiangdongriji
228,jiqingshaofu
229,j吧
230,j女
231,j巴
232,kao
233,KCQsf的朋友
234,kefu
235,kgirls
236,kmovie
237,ktv公主
238,K他命
239,l06222
240,lesbian
241,lihongzhi
242,live10tv
243,live69tv
244,m-zone
245,MAKELOVE
246,making
247,minghui
248,minghuinews
249,mir一条龙
250,missdai7777
251,ML
252,mm穴
253,MM香唇玉体
254,mobile
255,molca
256,molihua
257,multimedia
258,mzone
259,nacb
260,naive
261,newwestchina
262,nipple
263,NMD
264,nmis
265,NND
266,NPC
267,nude
268,ONS
269,oralsex
270,orgysex
271,paper
272,paper64
273,Party
274,peacehall
275,penis
276,PK黑社会
277,playboy
278,playbozi
279,pleybog
280,pleyboy
281,porn
282,PPK
283,pussy
284,PX项目
285,P眼
286,qian618.cn
287,q奸
288,rape
289,realxx
290,renminbao
291,renmingbao
292,rfa
293,rivals
294,safeweb
295,sb
296,semen
297,service
298,sex
299,SF一条龙
300,SF传世
301,SF传奇
302,SF劲舞
303,SF劲舞团
304,SF奇迹
305,SF巨人
306,SF盛大
307,SF网站定做
308,SF赚钱
309,SF魔兽
310,SF魔域
311,shaq
312,shit
313,simple
314,Slut
315,SM
316,SM虐待
317,softcore
318,sorasex
319,spaces.live
320,striptease
321,SUCK
322,svdc
323,T.M.D
324,taip
325,TAM
326,taobao
327,taobao5.biz
328,the3feel
329,tianwang
330,tibetalk
331,TMD
332,TND
333,TNND
334,tnt炸药成分
335,tnt炸药配方
336,todaynic
337,toolbar
338,triangle
339,triangleboy
340,txsl.org
341,u r
342,U-R
343,U/R
344,UltraSurf
345,unixbox
346,UR
347,urban
348,urban-rivals
349,ustibet
350,v8v
351,vagina
352,vip
353,vip_qq
354,VIP伴游
355,vip公主
356,voa
357,voachinese
358,voyeur
359,wangce
360,WAP
361,webgame.com.cn
362,webxxx
363,WEB战牌
364,WEB牌戰
365,weelaa
366,WP证书
367,wstaiji
368,WWW
369,www.5a5a5a.com
370,www.bignews.org
371,www.boxun.com
372,www.cdjp.org
373,www.chinamz.org
374,www.chinesenewsnet.com
375,www.cnd.org
376,www.dajiyuan.com
377,www.hx516
378,www.ikoton
379,www.renminbao.com
380,www.rfa.org
381,www.tibetalk.com
382,wzailv
383,xinsheng
384,XXX
385,XX功
386,xydwj
387,x伴侣
388,X夜激情
389,yaomf
390,yh226.cn
391,yindi
392,yinshui
393,yin毛
394,yin道
395,yin部
396,yuming
397,y户
398,y茎
399,y蒂
400,zceqq.cn
401,zh.wikipedia.org
402,zhengjian
403,zhengjianwang
404,zhenshanren
405,zhuanfalu
406,zhuanfalun
407,zifen
408,“7·5”事件
409,↑单双王
410,③肖中特
411,《新西部》
412,「红烧兔子」大餐
413,【③肖中特】
414,【内部单双】
415,㈠
416,㈡
417,㈢
418,㈣
419,㈥
420,㈧
421,㈨
422,㈩
423,㈱
424,㊣
425,一丝不挂性图片
426,一中一台
427,一党
428,一党专制
429,一党专政
430,一党执政
431,一卡多号
432,一四我
433,一国两制
434,一夜情
435,一夜激情
436,一安士海洛
437,一本道
438,一条龙SF
439,一条龙私服
440,一波中特
441,一码
442,一码中特
443,一码通
444,一肖中特
445,一肖彩经
446,一肖新
447,一蚕缠
448,一贯道
449,一边一国
450,一陀糞
451,一黨
